Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Nikola Jokic (37710814),Nikola Jokic,37710814,C/UTIL,9000,KEN@CHK 02/16/2025 08:20PM ET,CHK,68.04
PF/C,Giannis Antetokounmpo (37710816),Giannis Antetokounmpo,37710816,PF/C/F/UTIL,8600,KEN@CHK 02/16/2025 08:20PM ET,CHK,60.42
C,Victor Wembanyama (37710820),Victor Wembanyama,37710820,C/UTIL,8200,KEN@CHK 02/16/2025 08:20PM ET,CHK,54.30
PG,Shai Gilgeous-Alexander (37710822),Shai Gilgeous-Alexander,37710822,PG/G/UTIL,7800,KEN@CHK 02/16/2025 08:20PM ET,CHK,53.22
C,Karl-Anthony Towns (37710825),Karl-Anthony Towns,37710825,C/UTIL,7300,KEN@CHK 02/16/2025 08:20PM ET,CHK,51.06
PG,Cade Cunningham (37710827),Cade Cunningham,37710827,PG/G/UTIL,7100,KEN@CHK 02/16/2025 08:20PM ET,KEN,50.94
SF/PF,Jayson Tatum (37710830),Jayson Tatum,37710830,SF/PF/F/UTIL,6800,CAN@SHQ 02/16/2025 09:10PM ET,SHQ,50.82
SF/PF,LeBron James (37710834),LeBron James,37710834,SF/PF/F/UTIL,6400,CAN@SHQ 02/16/2025 09:10PM ET,SHQ,50.77
PG,Trae Young (37710838),Trae Young,37710838,PG/G/UTIL,6200,KEN@CHK 02/16/2025 08:20PM ET,CHK,47.71
PG,Damian Lillard (37710841),Damian Lillard,37710841,PG/G/UTIL,6000,CAN@SHQ 02/16/2025 09:10PM ET,SHQ,46.21
PG/SG,Anthony Edwards (37710844),Anthony Edwards,37710844,PG/SG/G/UTIL,5900,KEN@CHK 02/16/2025 08:20PM ET,KEN,45.62
PG,James Harden (37710848),James Harden,37710848,PG/G/UTIL,5800,CAN@SHQ 02/16/2025 09:10PM ET,SHQ,45.87
PF/C,Kevin Durant (37710851),Kevin Durant,37710851,PF/C/F/UTIL,5700,CAN@SHQ 02/16/2025 09:10PM ET,SHQ,45.42
C,Alperen Sengun (37710855),Alperen Sengun,37710855,C/UTIL,5600,KEN@CHK 02/16/2025 08:20PM ET,CHK,43.23
PG,Jalen Brunson (37710857),Jalen Brunson,37710857,PG/G/UTIL,5500,KEN@CHK 02/16/2025 08:20PM ET,KEN,43.07
PG,Stephen Curry (37710860),Stephen Curry,37710860,PG/G/UTIL,5300,CAN@SHQ 02/16/2025 09:10PM ET,SHQ,42.14
PG,Kyrie Irving (37710863),Kyrie Irving,37710863,PG/G/UTIL,5100,CAN@SHQ 02/16/2025 09:10PM ET,SHQ,41.52
PG,Tyler Herro (37710866),Tyler Herro,37710866,PG/G/UTIL,5000,KEN@CHK 02/16/2025 08:20PM ET,KEN,41.62
PG/SF,Amen Thompson (37710869),Amen Thompson,37710869,PG/SF/F/G/UTIL,4900,CAN@SHQ 02/16/2025 09:10PM ET,CAN,33.67
PG/SG,Donovan Mitchell (37710874),Donovan Mitchell,37710874,PG/SG/G/UTIL,4800,KEN@CHK 02/16/2025 08:20PM ET,CHK,40.70
PG,Keyonte George (37710878),Keyonte George,37710878,PG/G/UTIL,4700,CAN@SHQ 02/16/2025 09:10PM ET,CAN,31.21
SG/SF,Jaylen Brown (37710881),Jaylen Brown,37710881,SG/SF/F/G/UTIL,4600,CAN@SHQ 02/16/2025 09:10PM ET,SHQ,40.47
SF/PF,Jalen Williams (37710886),Jalen Williams,37710886,SF/PF/F/UTIL,4400,KEN@CHK 02/16/2025 08:20PM ET,KEN,40.04
PF/C,Evan Mobley (37710890),Evan Mobley,37710890,PF/C/F/UTIL,4300,KEN@CHK 02/16/2025 08:20PM ET,KEN,39.59
PF/C,Jaren Jackson Jr. (37710894),Jaren Jackson Jr.,37710894,PF/C/F/UTIL,4200,KEN@CHK 02/16/2025 08:20PM ET,KEN,39.64
PF,Pascal Siakam (37710898),Pascal Siakam,37710898,PF/F/UTIL,4100,KEN@CHK 02/16/2025 08:20PM ET,CHK,38.22
PG,Darius Garland (37710901),Darius Garland,37710901,PG/G/UTIL,4000,KEN@CHK 02/16/2025 08:20PM ET,KEN,37.83
C,Zach Edey (37710904),Zach Edey,37710904,C/UTIL,3900,CAN@SHQ 02/16/2025 09:10PM ET,CAN,23.38
PG/SG,Stephon Castle (37710906),Stephon Castle,37710906,PG/SG/G/UTIL,3800,CAN@SHQ 02/16/2025 09:10PM ET,CAN,23.47
PF/C,Trayce Jackson-Davis (37710910),Trayce Jackson-Davis,37710910,PF/C/F/UTIL,3600,CAN@SHQ 02/16/2025 09:10PM ET,CAN,19.67
SG/SF,Jaylen Wells (37710914),Jaylen Wells,37710914,SG/SF/F/G/UTIL,3400,CAN@SHQ 02/16/2025 09:10PM ET,CAN,19.36
SG/SF,Dalton Knecht (37710919),Dalton Knecht,37710919,SG/SF/F/G/UTIL,3200,CAN@SHQ 02/16/2025 09:10PM ET,CAN,15.90
SG/SF,Ryan Dunn (37710924),Ryan Dunn,37710924,SG/SF/F/G/UTIL,3100,CAN@SHQ 02/16/2025 09:10PM ET,CAN,14.12
