Luke Clanton (37246593),Matthew McCarty (37246605),Frankie Capan (37246666),Brian Campbell (37246668),Quade Cummins (37246670),Yuta Sugiura (37246701),41900,507
Luke Clanton (37246593),Matthew McCarty (37246605),Ryan Gerard (37246649),Frankie Capan (37246666),Brian Campbell (37246668),Yuta Sugiura (37246701),42200,504
Luke Clanton (37246593),Matthew McCarty (37246605),Max McGreevy (37246627),Frankie Capan (37246666),Brian Campbell (37246668),Yuta Sugiura (37246701),42600,503
Hideki Matsuyama (37246578),Corey Conners (37246579),Luke Clanton (37246593),Matthew McCarty (37246605),Frankie Capan (37246666),Yuta Sugiura (37246701),50000,501
Hideki Matsuyama (37246578),Matthew McCarty (37246605),Max McGreevy (37246627),Brian Campbell (37246668),Quade Cummins (37246670),Yuta Sugiura (37246701),45100,497
Hideki Matsuyama (37246578),Luke Clanton (37246593),Ryan Gerard (37246649),Frankie Capan (37246666),Brian Campbell (37246668),Yuta Sugiura (37246701),45600,494
Hideki Matsuyama (37246578),Max McGreevy (37246627),Ryan Gerard (37246649),Brian Campbell (37246668),Quade Cummins (37246670),Yuta Sugiura (37246701),44300,489
Corey Conners (37246579),Luke Clanton (37246593),Matthew McCarty (37246605),Ryan Gerard (37246649),Frankie Capan (37246666),Quade Cummins (37246670),46100,486
Hideki Matsuyama (37246578),Matthew McCarty (37246605),Max McGreevy (37246627),Ryan Gerard (37246649),Frankie Capan (37246666),Quade Cummins (37246670),45700,478
Hideki Matsuyama (37246578),Matthew McCarty (37246605),Max McGreevy (37246627),Ryan Gerard (37246649),Brian Campbell (37246668),Quade Cummins (37246670),45700,477
